cat,val1
25.01.2021+00:0008:00,0.00
25.01.2021+00:0009:00,0.00
25.01.2021+00:0010:00,0.00
25.01.2021+00:0011:00,22982.40
25.01.2021+00:0012:00,0.00
25.01.2021+00:0013:00,0.00
25.01.2021+00:0014:00,14414.40
25.01.2021+00:0015:00,27735.40
25.01.2021+00:0016:00,37637.60
25.01.2021+00:0017:00,50296.40
25.01.2021+00:0018:00,50542.80
25.01.2021+00:0019:00,42765.80
25.01.2021+00:0020:00,39608.80
25.01.2021+00:0021:00,28443.80
25.01.2021+00:0022:00,18957.40
25.01.2021+00:0023:00,5867.40
26.01.2021+00:0000:00,0.00
26.01.2021+00:0001:00,0.00
26.01.2021+00:0002:00,0.00
26.01.2021+00:0003:00,0.00
26.01.2021+00:0004:00,0.00
26.01.2021+00:0005:00,0.00
26.01.2021+00:0006:00,43198.40
26.01.2021+00:0007:00,39094.40
26.01.2021+00:0008:00,40173.60
26.01.2021+00:0009:00,0.00
26.01.2021+00:0010:00,0.00
26.01.2021+00:0011:00,36373.60
26.01.2021+00:0012:00,32263.00
26.01.2021+00:0013:00,9763.60
26.01.2021+00:0014:00,21560.00
26.01.2021+00:0015:00,27981.80
26.01.2021+00:0016:00,29845.20
26.01.2021+00:0017:00,37437.40
26.01.2021+00:0018:00,33264.00
26.01.2021+00:0019:00,23454.20
26.01.2021+00:0020:00,17663.80
26.01.2021+00:0021:00,10857.00
26.01.2021+00:0022:00,0.00
26.01.2021+00:0023:00,0.00
27.01.2021+00:0000:00,0.00
27.01.2021+00:0001:00,0.00
27.01.2021+00:0002:00,0.00
27.01.2021+00:0003:00,0.00
27.01.2021+00:0004:00,0.00
27.01.2021+00:0005:00,0.00
27.01.2021+00:0006:00,3855.60
27.01.2021+00:0007:00,18681.30
27.01.2021+00:0008:00,0.00
27.01.2021+00:0009:00,0.00
27.01.2021+00:0010:00,0.00
27.01.2021+00:0011:00,0.00
27.01.2021+00:0012:00,0.00
27.01.2021+00:0013:00,0.00
27.01.2021+00:0014:00,0.00
27.01.2021+00:0015:00,0.00
27.01.2021+00:0016:00,19522.80
27.01.2021+00:0017:00,30691.80
27.01.2021+00:0018:00,35113.50
27.01.2021+00:0019:00,25260.30
27.01.2021+00:0020:00,18987.30
27.01.2021+00:0021:00,13096.80
27.01.2021+00:0022:00,7359.30
27.01.2021+00:0023:00,1193.40
28.01.2021+00:0000:00,0.00
28.01.2021+00:0001:00,0.00
28.01.2021+00:0002:00,0.00
28.01.2021+00:0003:00,0.00
28.01.2021+00:0004:00,0.00
28.01.2021+00:0005:00,11671.50
28.01.2021+00:0006:00,17949.00
28.01.2021+00:0007:00,12276.00
28.01.2021+00:0008:00,1255.50
28.01.2021+00:0009:00,0.00
28.01.2021+00:0010:00,976.50
28.01.2021+00:0011:00,16538.50
28.01.2021+00:0012:00,13702.00
28.01.2021+00:0013:00,2557.50
28.01.2021+00:0014:00,2263.00
28.01.2021+00:0015:00,0.00
28.01.2021+00:0016:00,7533.00
28.01.2021+00:0017:00,27140.50
28.01.2021+00:0018:00,6835.50
28.01.2021+00:0019:00,728.50
28.01.2021+00:0020:00,0.00
28.01.2021+00:0021:00,0.00
28.01.2021+00:0022:00,0.00
28.01.2021+00:0023:00,0.00
29.01.2021+00:0000:00,0.00
29.01.2021+00:0001:00,0.00
29.01.2021+00:0002:00,0.00
29.01.2021+00:0003:00,0.00
29.01.2021+00:0004:00,0.00
29.01.2021+00:0005:00,697.50
29.01.2021+00:0006:00,17871.50
29.01.2021+00:0007:00,0.00
29.01.2021+00:0008:00,0.00
29.01.2021+00:0009:00,0.00
29.01.2021+00:0010:00,7641.50
29.01.2021+00:0011:00,4309.00
29.01.2021+00:0012:00,11036.00
29.01.2021+00:0013:00,15066.00
29.01.2021+00:0014:00,6277.50
29.01.2021+00:0015:00,13500.50
29.01.2021+00:0016:00,16430.00
29.01.2021+00:0017:00,24335.00
29.01.2021+00:0018:00,20522.00
29.01.2021+00:0019:00,17639.00
29.01.2021+00:0020:00,10230.00
29.01.2021+00:0021:00,3472.00
29.01.2021+00:0022:00,0.00
29.01.2021+00:0023:00,0.00
30.01.2021+00:0000:00,0.00
30.01.2021+00:0001:00,0.00
30.01.2021+00:0002:00,0.00
30.01.2021+00:0003:00,0.00
30.01.2021+00:0004:00,0.00
30.01.2021+00:0005:00,0.00
30.01.2021+00:0006:00,0.00
30.01.2021+00:0007:00,0.00
30.01.2021+00:0008:00,0.00
30.01.2021+00:0009:00,9300.00
30.01.2021+00:0010:00,8990.00
30.01.2021+00:0011:00,7037.00
30.01.2021+00:0012:00,2898.50
30.01.2021+00:0013:00,0.00
30.01.2021+00:0014:00,0.00
